"Pesquisador_Responsável","Pesquisadores_Associados","Pesquisadores_Principais","Cidade","Instituições_no_Exterior","Área_do_Conhecimento","Data_de_Início","Data_de_Término"
"Aloisio Mota Rodrigues Junior","Luiz Guilherme Miguel Jucá","","São Paulo","","Ciência da Computação","4/1/2024","12/31/2024"
"Leticia Leite Munhoz","Alex Reis","","Barueri","","Engenharia Elétrica","4/1/2024","12/31/2024"
"Eduardo Carità","","","Valinhos","","Engenharia Biomédica","4/1/2024","12/31/2024"
"Felipe Ribeiro Cabral Fagundes","Gisela Cristiane Miyamoto - Guilherme Hernandes Garcia Sanchez - Ricardo dos Reis","Bruno Tirotti Saragiotto","São José dos Campos","","Saúde Coletiva","4/1/2024","12/31/2024"
"Leonardo José da Silva","Valeria Maia Merzel","Gileno Vieira Lacerda Júnior","Campinas","","Agronomia","4/1/2024","12/31/2024"
"Amanda Carolina Prado de Moraes","Emerson Rodrigues de Camargo - Paulo Teixeira Lacava","","Ribeirão Preto","","Agronomia","4/1/2024","12/31/2024"
"Pedro Viganó da Silva Santos","Roseli de Deus Lopes","Nicholas Smaal","São Paulo","","Engenharia Elétrica","4/1/2024","12/31/2024"
"Andre Zuffo Boaratti","","","Jaboticabal","","Recursos Pesqueiros e Engenharia de Pesca","3/1/2024","11/30/2024"
"Fabiane Teixeira de Jesus","Ana Beatriz Carvalho Fernandes Braga","","Campinas","","","3/1/2024","11/30/2024"
"Leandro Norberto da Silva Júnior","João Victor Barbosa Tenório Fireman","","Marília","","Medicina Veterinária","3/1/2024","11/30/2024"
"José Marcio Bassan","José Alfredo Covolan Ulson","","Bauru","","Ciência da Computação","3/1/2024","11/30/2024"
"Aryanne Rodrigues de Lima Costa","Carlos Augusto Prata Gaona","","Juquiá","","Agronomia","3/1/2024","11/30/2024"
"Victor Borin Centurion Biruel","","","Campinas","","Genética","3/1/2024","11/30/2024"
"Karla Rodrigues Borba","Poliana Cristina Spricigo - Poliana Cristina Spricigo","","São Carlos","","Agronomia","3/1/2024","11/30/2024"
"Arthur Reis Martins","","","São Bernardo do Campo","","Zootecnia","3/1/2024","11/30/2024"
"Elisângela Belleti","Iseli Lourenço Nantes Cardoso","","Santo André","","Química","3/1/2024","11/30/2024"
"Daniel Cardoso de Andrade","","","São Paulo","","","3/1/2024","11/30/2024"
"João Vitor Alcantara da Silva","","","Santo André","","Medicina Veterinária","3/1/2024","11/30/2024"
"Henrique Iglesias Neves","Tatiane Regina Arioni","","Itu","","Microbiologia","3/1/2024","11/30/2024"
"Regina Mara Silva Pereira","Alexandra Christine Helena Frankland Sawaya - Hernane da Silva Barud - Márcio Luiz dos Santos - Mary Ann Foglio","","Campinas","","Química","3/1/2024","11/30/2024"
"Rafaela da Silveira Andre","Daniel Souza Corrêa - João Paulo Braga - João Victor Mendes - Lucas Fugikawa Santos","","Rio Claro","","","3/1/2024","11/30/2024"
"Ferdinando Marcos Lima Silva","Leonardo Fernandes Fraceto","","Tatuí","","Agronomia","3/1/2024","11/30/2024"
"Marcos José da Silva","","","São Paulo","","","3/1/2024","11/30/2024"
"Sthefany Rodrigues Fernandes Viana","","","Sorocaba","","Ciência e Tecnologia de Alimentos","3/1/2024","11/30/2024"
"Julio Cesar Eduardo de Souza","Élcio Hiroyoshi Yano - Marcelo Moreira Tiago - Ricardo Tokio Higuti","","Ilha Solteira","","Engenharia Elétrica","3/1/2024","11/30/2024"
"Andre Barboza da Silva","","","Marília","","","3/1/2024","11/30/2024"
"Guilherme Kubo Ribeiro","Breno Marcel Gomes de Oliveira - Danilo dos Santos - Gabriel Francisco Teixeira de Oliveira","","Rio Claro","","Física","3/1/2024","11/30/2024"
"Estela Ynes Valencia Morante","Lydia Fumiko Yamaguchi - Viviane Abreu Nunes Cerqueira Dantas","Felipe Santiago Chambergo Alcalde, Massuo Jorge Kato","São Paulo","","Genética","3/1/2024","11/30/2024"
"João Carlos Girioli","Douglas Jacob dos Santos - Igor Fernando Silvade Lima","","Cravinhos","","Engenharia de Materiais e Metalúrgica","3/1/2024","11/30/2024"
"Diêgo Ulysses de Melo","Leonardo Martins Carneiro","","São Paulo","","","3/1/2024","11/30/2024"
"Ana Carolina Panveloski Costa Salomão","Lucas Ariel Fernandes da Rocha - Milena Trevisan Pelegrino - Ricardo Di Lazzaro Filho","","São Paulo","","Biologia Geral","2/1/2024","10/31/2024"
"Fulvio Ramos Roxo","Taís de Moraes Alves","","São Paulo","","Arquitetura e Urbanismo","2/1/2024","10/31/2024"
"Bruno Berchielli","","","São Paulo","","Ciência da Computação","2/1/2024","10/31/2024"
"Paulo Augusto Marques Chagas","Mônica Lopes Aguiar - Wanderley Pereira Oliveira","","São Carlos","","","2/1/2024","10/31/2024"
"Jhones Luiz de Oliveira","Adriano Arrué Melo - Anderson do Espirito Santo Pereira - Estefânia Vangelie Ramos Campos - Halley Caixeta de Oliveira - Héros José Maximo - Juliano Dalcin Martins","","São Miguel Arcanjo","","Agronomia","2/1/2024","10/31/2024"
"Paula Cristina dos Santos","","","Ribeirão Preto","","","2/1/2024","10/31/2024"
"Renan Furlan Gonsaga","Daniele Ribeiro Contin - Maria Laura Viola Augusto","","Matão","","Agronomia","2/1/2024","10/31/2024"
"Marcio Henrique Zaim","","","São Paulo","","Química","2/1/2024","10/31/2024"
"Camila Maria Longo Machado","","","Sorocaba","","Engenharia Elétrica","2/1/2024","12/31/2024"
"Sandro Gonçales Funk","","Alexandre Alves dos Santos Junior","São Paulo","","Ciência da Computação","1/1/2024","11/30/2024"
"Danilo Cintra Proença","Anderson do Espirito Santo Pereira - Elisa Maia de Godoy - Estefânia Vangelie Ramos Campos - Jhones Luiz de Oliveira - Leonardo Fernandes Fraceto - Moranne Toniato da Silva","","Registro","","Recursos Pesqueiros e Engenharia de Pesca","1/1/2024","9/30/2024"
"Lais Roncalho de Lima","","","Limeira","","Química","1/1/2024","9/30/2024"
"André Luis Bonaventura","","","São José dos Campos","","Engenharia Elétrica","1/1/2024","9/30/2024"
"Angela Cristina Vargas Calle","Viviane Cristina Albarici","","Valinhos","","Engenharia de Materiais e Metalúrgica","12/1/2023","8/31/2024"
"Felipe Ribeiro Miranda","","","São Paulo","","Engenharia Elétrica","12/1/2023","11/30/2024"
"Alexsandro Kirch","","","São Paulo","","Engenharia de Materiais e Metalúrgica","12/1/2023","8/31/2024"
"Régis Claudio da Silva","Moacir Fernandes de Godoy","Marco Antonio Succi","Mogi Guaçu","","Engenharia Biomédica","12/1/2023","8/31/2024"
"Douglas Roberto de Matos Pimentel","","","Santana de Parnaíba","","Ciência da Computação","12/1/2023","7/31/2024"
"Paula Fagundes de Gouvêa Bizzi","Jean Carlos Rodrigues da Silva - Sabrina Ciane Condi - Taisa Magnani Dinamarco","","Ribeirão Preto","","Bioquímica","11/1/2023","7/31/2024"
"Ingritt Caroline Moreira","","","São Carlos","","Botânica","11/1/2023","7/31/2024"
"Pedro Mario Pan Neto","José Diogo Ribeiro de Souza","Rodrigo Affonseca Bressan","São Paulo","","Medicina","11/1/2023","7/31/2024"
"Rafael Gustavo Mansini Lorensani","Raquel Gonçalves","","Campinas","","Recursos Florestais e Engenharia Florestal","11/1/2023","7/31/2024"
"Shahin Ranjbarzadeh","","","São Paulo","","Engenharia Mecânica","11/1/2023","7/31/2024"
"Manuella Nóbrega Dourado Ribeiro","Maria Carolina Quecine Verdi","","Piracicaba","","Agronomia","10/1/2023","6/30/2024"
"Fernanda Antunes Alves da Costa","Daíse Moreno Sás - Debora Colombi - Isabella Ariadne Ferrari Bernardes","","Botucatu","","Genética","10/1/2023","6/30/2024"
"Aline Larissa Gonçalves","","","São José dos Campos","","Bioquímica","10/1/2023","6/30/2024"
"Matheus Henrique Romão","Karina Fittipaldi Bombonato Prado","","São Paulo","","","10/1/2023","6/30/2024"
"Pedro Ernesto Pereira Paro","Bruno Tonet - Rosival Rodrigues do Nascimento Neto","","Itu","","Ciência da Computação","10/1/2023","6/30/2024"
"Marcus Vinicius Prianti","","","São José dos Campos","","Engenharia Aeroespacial","9/1/2023","11/30/2024"
"Luciano Lopes Queiroz","Marcos Veiga dos Santos - Viviani Gomes","","São Paulo","","Microbiologia","9/1/2023","8/31/2024"
"Gabriella Maria de Faria","Karina Rabello Casali - Renata Girardi Casali Bronzatti - Tatiana de Sousa da Cunha Uchiyama","","São José dos Campos","","Engenharia Biomédica","9/1/2023","6/30/2024"
"André Ofenhejm Mascarenhas","","","São Paulo","","","9/1/2023","5/31/2024"
"Rodrigo Pinheiro Araldi","","","São Paulo","","","9/1/2023","5/31/2024"
"Mauro Akira Hamada","","","Piracicaba","","Agronomia","9/1/2023","8/31/2024"
"Paulo César Cury Junior","Alan Galisteu Venancio - Caio Henrique Amparo Rosateli - José Eduardo Soriano","Yury Catalani Nepomuceno Duarte","Piracicaba","","Agronomia","9/1/2023","8/31/2024"
"Patrick Neri de Oliveira","","Pedro Manograsso do Bomfim","Araçatuba","","Ciência da Computação","9/1/2023","5/31/2024"
"Silas Pinto da Silva","","Diogo de Moraes","Campinas","","Nutrição","9/1/2023","5/31/2024"
"Leandro Matiolli Machado","","Bernardo de Barros Correia Kyotoku","Campinas","","Engenharia Elétrica","9/1/2023","5/31/2024"
"Aulus Roberto Romão Bineli","Rubens Maciel Filho","André Luiz Jardini Munhoz","Campinas","","Engenharia Química","9/1/2023","5/31/2024"
"Thábita Carneiro Maganete","Ksdy Maiara Moura Sousa Werli - Nuccia Cardinale Diniz Castro","","São Caetano do Sul","","Medicina","9/1/2023","8/31/2024"
"Alessandra Fernandes Rosa","","","Pirassununga","","Ciência e Tecnologia de Alimentos","8/1/2023","7/31/2024"
"Viviane Aparecida Guilherme Damasio","Eneida de Paula - Gustavo Henrique Rodrigues da Silva","","Campinas","","Farmácia","8/1/2023","4/30/2024"
"Montcharles da Silva Pontes","Anderson Rodrigues Lima Caires - Jean-Claude Mpeko - KAREL NEGRIN NAPOLES - Samuel Leite de Oliveira","","São Carlos","","","8/1/2023","4/30/2024"
"Márcio Gomes Sabino","","","São Carlos","","Odontologia","8/1/2023","4/30/2024"
"Mariana Machitte de Freitas","Diogo Marques Tafuri - Gleise Segatto de Oliveira Teixeira","","São Carlos","","Engenharia de Produção","8/1/2023","6/30/2024"
"Rafael Augusto Theodoro Pereira de Souza Nahat","","","São Paulo","","Engenharia Química","8/1/2023","6/30/2024"
"Renata Silvério","Alfredo Goldman vel Lejbman - Paulo Roberto dos Santos Silva","Marcelo Semiatzh, Paula Ricci Arantes","São Paulo","","Saúde Coletiva","8/1/2023","4/30/2024"
"Luiz Henrique Dias Gonçalves de Sousa","Marcus Vinicius Fonseca de Lima - Vladimir Tonello de Vasconcelos","","São Paulo","","Medicina","8/1/2023","4/30/2024"
"Ana Lídia Corrêa da Silva Moreira","","","São Paulo","","Fisioterapia e Terapia Ocupacional","7/1/2023","6/30/2024"
"Jorge Vinicius da Silva Neto","Elcio Pasqualucci","","Campinas","","Engenharia de Produção","7/1/2023","9/30/2024"
"Cleverson Moreira de Souza","","","Santana de Parnaíba","","Ciência da Computação","7/1/2023","6/30/2024"
"Joseane Terto de Souza Uema","","","São Paulo","","Educação","7/1/2023","1/31/2024"
"Nathali Cordeiro Pinto","Marcelo Batista Bonadio","","São Paulo","","Biofísica","7/1/2023","6/30/2024"
"Marília Bixilia Sanchez","","","Mogi das Cruzes","","Microbiologia","7/1/2023","7/31/2024"
"Daniel Roberto Callejon","Pedro Paulo Soldati","","Ribeirão Preto","","Farmácia","7/1/2023","8/31/2024"
"Manuella Souza Silverio","","Talita Balansin Rigon","São José do Rio Preto","","","7/1/2023","3/31/2024"
"Guaracy Carlos da Silveira","","","São Paulo","","Ciência da Computação","7/1/2023","6/30/2024"
"Joel de Oliveira Junior","Guilherme Hernandes Garcia Sanchez","","São José dos Campos","","Medicina","7/1/2023","9/30/2024"
"Maíra Peres Ferreira Duarte","","","Ribeirão Preto","","Farmácia","7/1/2023","6/30/2024"
"Robson Quero","Marcos Aurelio Fabricio","","Limeira","","Ciência da Computação","7/1/2023","6/30/2024"
"Aline Chitero Bueno Fagliari","Ana Paula de Souza Silva - Camila Camolesi Guimarães - Cláudia Echevenguá Teixeira - Matheus Carreira Andrade","Allan de Godoi Contessoto, André Luis Delorme, Raphael Augusto Fagliari","São José do Rio Preto","","Engenharia Sanitária","7/1/2023","6/30/2024"
"Matheus Saliba Monteiro","Bruno Bracco Donatelli Muro - Marcos Vinícius Batista Nicolino","","São Carlos","","","7/1/2023","3/31/2024"
"Eduardo Ferreira Franco","Joaquim Rocha dos Santos - Vinicius Picanco Rodrigues","","São Paulo","","Administração","7/1/2023","3/31/2024"
"João Vitor Valentin Arruda","Enio Daniel Machado de Freitas","","Sorocaba","","Engenharia Aeroespacial","7/1/2023","3/31/2024"
"Caroline Castro Nunes","Alex Borges Vieira - Alex Lima Nascimento Vieira","","São Paulo","","","6/1/2023","5/31/2024"
"Victor Hochgreb de Freitas","Julio Cesar dos Reis","","Santo André","","Ciência da Computação","6/1/2023","5/31/2024"
"Lucas Carvalho Gonçalves","Marcos Rechi Siqueira","Ana Carolina Moralles Barbosa Silva, Brandon Silva de Araujo, Jessika Campos de Sousa, João Paulo Salles de Oliveira, Juliana Cortez Borges, Luiz Octávio Martini Lima","Mogi Guaçu","","Engenharia Elétrica","6/1/2023","5/31/2024"
"Gabriel Rodrigues Cavalcante Domene","","","São Paulo","","Engenharia Mecânica","6/1/2023","5/31/2024"
"Marcela Marcondes Pinto Rodrigues","","","Botucatu","","Medicina Veterinária","6/1/2023","2/29/2024"
"Fábio de Carvalho Groff","Sebastian Denef","","São Paulo","","","6/1/2023","5/31/2024"
"Anibal Wanderley","Brenda Helena D'Oliveira - Paula Caroline Silvério Ferrão","Beatriz Gonçalves Cordeiro, Fernanda Azevedo Cabrera, Nycollas Matheus de Oliveira, Victorino Barreiros Vila","São Paulo","","Engenharia Agrícola","6/1/2023","5/31/2024"
"Selma Isabel Rodrigues","Lígia Ferreira Gomes - Marianna Gabriela Almasy","","São Paulo","","Biofísica","6/1/2023","5/31/2024"
"Wiolene Montanari Nordi","Bruna Biava de Menezes - Gregori Alberto Rovadoscki","Marcelo Aranda da Silva Coutinho","Piracicaba","","Zootecnia","6/1/2023","2/29/2024"
"Eugênio Pachelli Lacerda","Renata Genova Martins","Moacir Lacerda","São Paulo","","Geociências","6/1/2023","5/31/2024"
"Wilk Oliveira dos Santos","","Juho Johannes Hamari","São Carlos","","Educação","6/1/2023","2/29/2024"
"Rafael Zochling","","","Campinas","","Engenharia Elétrica","6/1/2023","4/30/2024"
"Carlos Eduardo Nascimento Sassano","","","Jacareí","","Engenharia Química","6/1/2023","2/29/2024"
"Natiely Silva Sales","Ana Carolina Ramos Moreno - Luis Carlos de Souza Ferreira - Maria Luiza Nogueira Dias Genta - Maricy Tacla Alves Barbosa","","São Paulo","","Microbiologia","6/1/2023","5/31/2024"
"Reysla Maria da Silveira Mariano","Isabela Teresa Santos Corrêa - Rodolfo Cordeiro Giunchetti","","São Paulo","","Medicina Veterinária","6/1/2023","2/29/2024"
"Luiz Carlos de Caires Júnior","Fabrício Alano Pamplona - Larissa Pereira Brumano","Ricardo Ernesto Bianchetti","São Paulo","","Genética","6/1/2023","11/30/2024"
"Isabela Neto Piccirillo","Henrique Rozenfeld","","São Carlos","","Engenharia de Produção","6/1/2023","2/29/2024"
"Ângelo Massatoshi Ebesui","Matheus Gomes da Rocha","","São Paulo","","","6/1/2023","8/31/2024"
"Flávia Bottino","Paulo Vagner dos Santos","","Araraquara","","Ecologia","6/1/2023","2/29/2024"
"Evelin Placido dos Santos","Daniel Martin Simões - Mayra Martho Moura de Oliveira","","São Paulo","","Saúde Coletiva","6/1/2023","6/30/2024"
"Luiz Roberto de Olival Costa","Augusto Yukitaka Pessinatti Ohashi - Eduardo Jacob Lopes","Paulo Mazzafera","São Paulo","","Agronomia","6/1/2023","2/29/2024"
"Ricardo Antonio de Oliveira Machado","","","São Paulo","","Engenharia Agrícola","6/1/2023","2/29/2024"
"Guilherme Martineli Sanches","Rafael Otto","","Piracicaba","","Agronomia","6/1/2023","5/31/2024"
"Simone Gibran Nogueira","","","Campinas","","Psicologia","6/1/2023","5/31/2024"
"Alessandro Menzani","","","Santos","","Engenharia de Materiais e Metalúrgica","6/1/2023","5/31/2024"
"Diogo Serra Baldissin","Cleyton Alves Bomfim - Flavio Minoru Maruyama","","São Paulo","","Ciência da Computação","5/1/2023","5/31/2024"
"Erika Mattos Stein","","","São Paulo","","Botânica","5/1/2023","1/31/2024"
"Diego Grando Módolo","Caroline Lima dos Santos - Pedro Henrique Machado Rodrigues - Thais Peron da Silva","Carolini Kaid Dávila","São Paulo","","Genética","5/1/2023","2/29/2024"
"Daniela da Silva Pereira","","","São Paulo","","Engenharia Química","5/1/2023","7/31/2024"
"Francisco Giraldes Arieta Filho","Suzilene Real Janasi","Daniel Rodrigues, Paulo Marino Marchina","Cajamar","","Engenharia de Materiais e Metalúrgica","5/1/2023","4/30/2024"
"Matheus Henrique Maiolini Ducatti","Liliam Barbuglio Del Priore - Ronaldo Valdir Briani","Fábio Mícolis de Azevedo","Presidente Prudente","","Fisioterapia e Terapia Ocupacional","5/1/2023","4/30/2024"
"Kory Malafaia Pinheiro","","","São Paulo","","","5/1/2023","4/30/2024"
"Fernando Costa Malheiros","Eduardo Torres Novais - Jose Jeronimo Rabelo Faria","","São José dos Campos","","Engenharia Biomédica","5/1/2023","1/31/2024"
"Jaime Finguerut","Taís Helena Martins Lacerda","Sergio Suzuki, Wokimar Teixeira Garcia","Piracicaba","","","5/1/2023","10/31/2024"
"Thiago Martimiano do Prado","Matias Eliseo Melendez - Ronaldo Censi Faria","","São Carlos","","Química","5/1/2023","4/30/2024"
"Mauro Fernando Jeckel","DOMINGOS MARCIO RODRIGUES NAPOLITANO - Fabio Carvalho Mota - Flavia Palavani da Silva - Miguel Victor Campanha Manfredi","","São Paulo","","Ciência da Computação","5/1/2023","1/31/2024"
"Ana Cláudia Martins Ciconelle","","Dênis Gonçalves dos Santos, Renan Lucio Berbel da Silva","São Paulo","","Odontologia","5/1/2023","4/30/2024"
"Kelly Afonsina Fernandes","Ernani Pinto Junior","Ernani Pinto Junior, Marli de Fátima Fiore","Piracicaba","","Microbiologia","5/1/2023","1/31/2024"
"Ranilson Angelo da Silva","Marcelo Ornaghi Orlandi - Marcos Eduardo Guerra Alves","","Araraquara","","Engenharia de Materiais e Metalúrgica","5/1/2023","4/30/2024"
"Charles Adriano Duvoisin","","","São José dos Campos","","Engenharia Química","5/1/2023","1/31/2024"
"Anna Laura Viacava Américo","Cynthia Rodrigues Muller - vera de moura azevedo farah","Patrícia Fiorino","São Paulo","","Farmacologia","5/1/2023","1/31/2024"
"Maylon Pires Macedo","Carlos Henrique da Silva Santos - Danilo Camargo Bueno - Paulo Henrique Vieira Candido","","Itapetininga","","Ciência da Computação","4/1/2023","12/31/2023"
"Maicon da Rocha Brande","Guilherme Wolff Bueno","","Registro","","Ciência da Computação","4/1/2023","3/31/2024"
"Larissa Galante Elias","Daniela Oliveira Carneiro - Vanessa Mendes","Bárbara Gimenes de Castro, Marcus Vinícius Wendel Jordão","Ribeirão Preto","","Ecologia","4/1/2023","3/31/2024"
"Carlos Eduardo de Santana Marques","","Lucas Vinicius Maginador","São Paulo","","Engenharia Mecânica","4/1/2023","6/30/2024"
"José Sindi Yamamoto","Felipe de David Bortolotto","Eduardo Luís Carrara","Campinas","","Engenharia Elétrica","4/1/2023","6/30/2024"
"Roberto de Alencar Lotufo","Marcio Pereira Garcia - Rodrigo Frassetto Nogueira","","Campinas","","Ciência da Computação","4/1/2023","6/30/2024"
"Júlio Oliveto Alves","Caio Santos de Santana Souza - Fernando José Habib Moraes","Ellen Christine de Souza Galvão, Lucas Heiji de Moraes Miura","São José dos Campos","","Engenharia de Transportes","4/1/2023","3/31/2024"
"Philipe dos Santos","Any Elisa de Souza Schmidt Gonçalves - Marcio Lopes - Tuany Zambroti Cândido","","Campinas","","Ciência e Tecnologia de Alimentos","4/1/2023","3/31/2024"
"Bianca da Silva Almeida","Luis Carlos de Souza Ferreira - Samuel Santos Pereira","Silvia Beatriz Boscardin","São Paulo","","Microbiologia","4/1/2023","12/31/2023"
"João Paulo Bená","Rafael Nóbrega Ramalho","Marcos Costa","Santa Bárbara D'Oeste","","Engenharia Mecânica","4/1/2023","3/31/2024"
"Rodrigo de Freitas Santos","","","São Paulo","","Engenharia Elétrica","4/1/2023","3/31/2024"
"Debora Regina Ito","","","São Paulo","","Educação","4/1/2023","3/31/2024"
"Sebastião Cardoso","","","São José dos Campos","","Engenharia Aeroespacial","4/1/2023","12/31/2023"
"Ricardo Renovato Nazareno","Antonio Freitas Rentes","","São Carlos","","Engenharia de Produção","4/1/2023","12/31/2023"
"Adla Viana Lima","","","São Carlos","","","4/1/2023","12/31/2023"
"Carlos Nobuaki Hokumura Filho","","João Ricardo Favan, Luiz Carlos Querino Filho","Marília","","Recursos Pesqueiros e Engenharia de Pesca","4/1/2023","3/31/2024"
"Guilherme Henrique Favaro Fuzato","Cassius Rossi de Aguiar","","São Carlos","","Engenharia Elétrica","4/1/2023","3/31/2024"
"Yury Catalani Nepomuceno Duarte","José Eduardo Soriano - Kauê Tartarotti Nepomuceno Duarte - Luiz Henrique de Almeida - Roberto Arruda de Souza Lima","Paulo César Cury Junior, Raphael Sousa Teleze","Piracicaba","","Agronomia","4/1/2023","9/30/2024"
"Vinicius Fleires Durbano","Renan Barcelos Ferreira da Silva","Caio Martins de Oliveira Cabral, Karen Danielle de Castro Silva","São Paulo","","Ciência da Computação","4/1/2023","5/31/2024"
"Gleidson Silva Teixeira","Alexandre Ruffini - Maria Augusta de Carvalho Silvello","","Campinas","","Genética","4/1/2023","3/31/2024"
"Daniel Ibraim Pires Atala","Walter Maccheroni Junior","","Campinas","","Engenharia Química","4/1/2023","6/30/2024"
"Eduardo José Sande e Oliveira dos Santos Souza","","","Vinhedo","","Ciência da Computação","4/1/2023","6/30/2024"
"Marcos Henrique Mamoru Otsuka Hamanaka","Daniel Christian Kacerovsky - Pablo Jenner Paredez Angeles - Renata Cristiano Nome","Elcio Loche Bermudes","Campinas","","","4/1/2023","3/31/2024"
"Claudio Emanuel de Menezes","Adalberto Caetano - Adriano Abrantes de Andrade - Carlos Alberto Oshiro - Juliana de Oliveira Sacramento Goes - Laudo Gonçalves","","São Paulo","","Ciência da Computação","4/1/2023","1/31/2024"
"Mona das Neves Oliveira","","","Cotia","","","4/1/2023","5/31/2024"
"Fernando César Bizerra","","Cristiano Rocha Meneguello","São José dos Campos","","Farmácia","4/1/2023","3/31/2024"
"Diogo Gará Caetano","Douglas Fernandes Moreira Morais","","Campinas","","Ciência da Computação","4/1/2023","6/30/2024"
"Osni Flavio Passos","Daniel Couto Gatti - Hugo do Nascimento - Kevin da Silva Cruz - Marcos Antonio Gaspar - Natalia Brotto - Wanessa Caroline Rengel","Amanda Zonatto Colaço, Rodrigo Amazonas Sliwak","São Caetano do Sul","","Administração","3/1/2023","11/30/2023"
"Julio Cesar Barbour Oliveira","","","São Paulo","","Ciência da Computação","3/1/2023","11/30/2023"
"Paulo Henrique Polegato","","","Matão","","Engenharia Mecânica","3/1/2023","1/31/2024"
"Maria Aparecida Cormedi","Moacir de Miranda Oliveira Junior","Elaine Silva Bezerra","São Paulo","","Fonoaudiologia","3/1/2023","11/30/2023"
"Danilo Amaral de Oliveira","Frederico Amaral de Oliveira","Bruno Squizato Faiçal, Ivan Ervolino","São Carlos","","Ciência da Computação","3/1/2023","11/30/2023"
"Roberto Ruller","José Antonio Bressiani - Maria de Lourdes Teixeira de Moraes Polizeli - Rosymar Coutinho de Lucas","","São Paulo","","Microbiologia","3/1/2023","11/30/2023"
"Matheus Felipe dos Santos","","Tamires Miranda Milagres Portilho","São Carlos","","Engenharia de Materiais e Metalúrgica","3/1/2023","11/30/2023"
"Henrique Ferreira da Silva","","","São Bernardo do Campo","","Educação Física","2/1/2023","1/31/2024"
"Eduardo José Nassar","","","Franca","","Química","2/1/2023","1/31/2024"
"Leandro de Campos Teixeira Gomes","Flávia Gouveia de Campos Gomes","","Campinas","","Ciência da Computação","2/1/2023","1/31/2024"
"André Luis Sophia","","","Valinhos","","Ciência da Computação","2/1/2023","1/31/2024"
"Luciane Cruz Lopes","Cristiane de Cássia Bergamaschi - Silvio Barberato Filho","","Piracicaba","","Saúde Coletiva","2/1/2023","1/31/2024"
"Raísa Paulo Fadel","","","Conchal","","Nutrição","2/1/2023","1/31/2024"
"Caio Agudo da Silva","","","Santo André","","Turismo","2/1/2023","1/31/2024"
"Lucio Garcia Veraldo Junior","","","São José dos Campos","","Educação","2/1/2023","1/31/2024"
"Diandra Achre","","","Jaú","","Agronomia","2/1/2023","1/31/2024"
"Marcelo Domingos","","","Ribeirão Preto","","Química","2/1/2023","1/31/2024"
"Mylene Cristina Alves Ferreira Rezende","Caio Gomide Otoni - Isabel Duarte Coutinho - Luiz Antonio Dutra - Rodrigo Alvarenga Rezende","","Araraquara","","","2/1/2023","1/31/2024"
"Juliana Cordeiro Cardoso","","","Araraquara","","Farmácia","2/1/2023","1/31/2024"
"Guilherme Gomes da Silva Castiglioni","","","Mogi Guaçu","","Engenharia Elétrica","2/1/2023","1/31/2024"
"Evelyn Toledo Dias","","Gabriela Gonzaga Vitor Rodrigues, Klara Joaquim Piaia","São Paulo","","Recursos Florestais e Engenharia Florestal","2/1/2023","1/31/2024"
"Ana Carolina Vieira Colturato","","","Bauru","","","2/1/2023","1/31/2024"
"Eduardo Miller","","","Santa Bárbara D'Oeste","","Ciência da Computação","2/1/2023","1/31/2024"
"Nicolas André Arneiro Dias dos Santos","","Gustavo Tavares Marçon","Guaratinguetá","","Administração","2/1/2023","1/31/2024"
"Pierre Ferreira do Prado","Iolanda Cristina Silveira Duarte","","Piracicaba","","Ciência da Computação","2/1/2023","1/31/2024"
"Érika Machado de Salles","Paula Carolina de Souza","Eduardo Leal Rodrigues","São Paulo","","Genética","2/1/2023","10/31/2023"
"Fabio Caixeta Ferreira Jorge","","","Orlândia","","Engenharia de Transportes","2/1/2023","1/31/2024"
"Joice Dantas Leal","Elisabete Barbosa Castanheira - Gina Gulineli Paladino - Izamara Vanessa Carniatto","","São Paulo","","Ciência da Computação","2/1/2023","1/31/2024"
"Rafaela Cobucci Cerqueira","Renata Gonçalves Ferreira","Túlio Pires Oliveira","São Paulo","","Ecologia","2/1/2023","10/31/2023"
"Gabriel Ranyer Vasconcelos Lima","Helen Pruschinski Fernandes","","São Paulo","","Ciência da Computação","2/1/2023","10/31/2023"
"Isabela Fernandes de Oliveira","","Luiza de Oliveira Macedo, Nádia Araci Bou-Chacra","Descalvado","","Farmácia","2/1/2023","1/31/2024"
"Hermínia Aparecida Carnieto Tozadore","Adam Henrique Moreira Pinto - Daniel Carnieto Tozadore","","Botucatu","","","2/1/2023","1/31/2024"
"Víctor Ulian Antunes","","","Campinas","","","2/1/2023","1/31/2024"
"Silviene Novikoff","Niels Olsen Saraiva Câmara - Tiago Albertini Balbino","Thiago Rafael Rodrigues Ribeiro","São Paulo","","Medicina","2/1/2023","1/31/2024"
"Deyber Arley Vargas Medina","","","São Carlos","","Química","2/1/2023","10/31/2023"
"Décio Batista de Freitas Neto","Herenilton Paulino Oliveira","João Victor Bonaldo Rodrigues Rocha","Ribeirão Preto","","Química","2/1/2023","10/31/2023"
"Gustavo José Querino de Vasconcelos","","Gabriel Schubert Ruiz Costa","Campinas","","Ciência da Computação","2/1/2023","11/30/2023"
