"Pesquisador_Responsável","Pesquisadores_Associados","Pesquisadores_Principais","Cidade","Instituições_no_Exterior","Área_do_Conhecimento","Data_de_Início","Data_de_Término"
"Adriana Oliveira Manfiolli","Carolina Caliári Oliveira - Claudio Miguel da Costa Neto - Kamilla Swiech Antonietto - Kelen Cristina Ribeiro Malmegrim de Farias","","Ribeirão Preto","","Medicina","9/1/2019","5/31/2020"
"Leandro Soares Martins","Ériton Egidio Lisboa Valente - Fernanda Macitelli - Flávio Augusto Portela Santos - Luiz Gustavo Nussio","","Piracicaba","","Zootecnia","9/1/2019","5/31/2020"
"Valeria da Silva Santos","Mayanny Gomes da Silva","","Espírito Santo do Pinhal","","Ciência e Tecnologia de Alimentos","8/1/2019","7/31/2020"
"William Alberto Leonel Ferreira","","","São Carlos","","Química","8/1/2019","7/31/2021"
"Daniel Solferini de Carvalho","Fernando Henrique Mayworm de Araujo","João Andrade de Carvalho Junior","Lorena","","Engenharia Mecânica","8/1/2019","12/31/2021"
"Rafael Mira de Oliveira Libardi","Emanuel Carlos de Alcantara Valente - Lucas da Silva Assis","","Ribeirão Preto","","Ciência da Computação","8/1/2019","8/31/2020"
"Renato José Ferreira","","Eduardo Mayer Fagundes","Barueri","","Ciência da Computação","8/1/2019","4/30/2020"
"Felipe Iszlaji de Albuquerque","","","São Paulo","","Linguística","8/1/2019","4/30/2020"
"Evandro Drigo da Silva","Carlos Antonio França Sartori - Tarcísio Fernandes Leão - Viviane Cristine Silva","","São Paulo","","Engenharia Biomédica","8/1/2019","6/30/2020"
"Inajá Marchizeli Wenzel Rodrigues","Bruna Mariele de Almeida Guazzelli - Thiago Rodrigues de Castro","","Piracicaba","","Agronomia","8/1/2019","9/30/2020"
"Paula Renata Cerdeira Gomez","Conrado Leite de Vitor - Giuliano Leite de Vitor - Newton Bomeisel Cardoso","","São Paulo","","Engenharia Elétrica","8/1/2019","1/31/2022"
"Alexandre Leite Rosa","ANDRE RIYUITI HIRAKAWA - Luiz Henrique Leite Rosa","Rodrigo Tadeu de Oliveira Ladeira","São Paulo","","Engenharia Elétrica","8/1/2019","6/30/2020"
"Mardoqueu Martins da Costa","Adriana Pavinatto da Costa - Nivaldo Antonio Parizotto - Renata Marques de Melo Marinho","","São Carlos","","Engenharia de Materiais e Metalúrgica","8/1/2019","7/31/2020"
"Pedro Campos Assunção","","Arthur Roza Augusto, Saint Clair Henrique Nunes","São José dos Campos","","Engenharia Elétrica","8/1/2019","10/31/2021"
"Joao Marcos de Mattos Barguil","","","São Paulo","","Ciência da Computação","8/1/2019","7/31/2021"
"Daniela Spuri Bernardi","","","Ribeirão Preto","","Odontologia","8/1/2019","9/30/2020"
"Marcelo Aparecido Pelegrini","","","São Paulo","","Ciência da Computação","8/1/2019","3/31/2020"
"Cláudio Gurgel Pinheiro","","","Campinas","","Engenharia Elétrica","8/1/2019","1/31/2022"
"Gustavo Claro Monteiro","Rafael Rovatti Pupin","","Araraquara","","Saúde Coletiva","8/1/2019","4/30/2020"
"Cassiano Carlos Escudeiro","","","São Paulo","","Química","8/1/2019","1/31/2022"
"Keila Keiko Matsumura Kayatt","Bruno Maranhão Affonso - Henrique Garcia da Costa - Ricardo Di Lazzaro Filho - Romero Tori","","São Paulo","","","8/1/2019","7/31/2022"
"Wagner Henrique Rabelo","José Roberto Ribeiro Bortoleto - Luís Filipe de Moura Santos","","Sorocaba","","Engenharia de Materiais e Metalúrgica","8/1/2019","2/28/2021"
